,building_id,resource_name,description,category,address,building_room,email,url,phone,audience,Office Hours,is_funding,in_person,building_accesibilty,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,comments
0, ,Advanced Research Computing,,Computing and Technical Resource; Consulting & Support,Please confirm address,Please confirm address,"arc-support@umich.edu, arc-consulting@umich.edu",https://its.umich.edu/advanced-research-computing,,,"Tuesday 9:30am - 11:00am, Wednesday 1:30pm - 3:00pm",,,,,,9:30 AM,11:00 AM,1:30 PM,3:00 PM,,,,,Hours are for consulting services
1,1000145,Data Science for Dynamic Intervention Decision Making Center (d3),,Applied & Domain Focused Research; Consulting & Support,"426 Thompson St, Ann Arbor, MI 48106-1248",Institute for Social Research,d3-center@umich.edu,https://d3c.isr.umich.edu/,,,,yes,yes,Ramp access on east side main entrance facing Thompson St.,,,,,,,,,,,Unable to find hours for either d3 or for ISR
2,1000204,Statistical Analysis of Biomedical and Educational Research Group (SABER),,Applied & Domain Focused Research; Consulting & Support,"1415 Washington Heights, Ann Arbor, MI 48109",SPH I,SABER-proposals@umich.edu,https://sph.umich.edu/saber/,,,,,,"Ramp access on south side main entrance facing Washington Heights, and both entrances on north and south side of the courtyard under the bridge.",,,,,,,,,,,Unable to find hours
3,1005282,Clinical & Health Research Dissemination & Implementation Science Catalyst (DISC),,Funding & Project Development,"1600 Huron Parkway, Ann Arbor, MI 48109",North Campus Research Complex Building 550,michr-rdc@umich.edu,https://michr.umich.edu/dissemination-implementation-science-catalyst-disc-pilot-grant/,,,,,,,,,,,,,,,,,
4,1005281,e-HAIL: E-Health & Artificial Intelligence,,Applied & Domain Focused Research; Funding & Project Development,"2800 Plymouth Rd, Ann Arbor, MI 48109",Building 520,Various (https://e-hail.umich.edu/people-e-hail-team/),https://e-hail.umich.edu/,,,,,,Ramp access on west side main entrance,,,,,,,,,,,Unable to find hours
5,1005276,AI & Digital Health Innovation,,Applied & Domain Focused Research; Computing & Technical Resources,"1600 Huron Pkwy, Ann Arbor, MI 48109",Building 100,AIDHI@umich.edu,Please confirm website,,,,,,Ramp access on west main entrance (Business Engagement Center),,,,,,,,,,,
6, ,Michigan Alzheimer's Disease Center,,Applied & Domain Focused Research,"2101 Commonwealth Blvd, Ste D., Ann Arbor, MI 48105",Please confirm address,UM-Ask-MADC@med.umich.edu,https://medresearch.umich.edu/labs-departments/centers/madc,734-936-8803,,,,,,,,,,,,,,,,
7,1005092,AI Lab,,"AI Development, Research & Methods; Consulting & Support","2260 Hayward Street, Ann Arbor, MI  48109-2121

",Bob and Betty Beyster Building,ailabadmin@umich.edu,https://ai.engin.umich.edu/,,,,,,,,,,,,,,,,,
8,1005574,Michigan Institute for Computational Discovery & Engineering,,"AI Development, Research & Methods; Computing & Technical Resources","3520 Green Ct. Suite 2300, Ann Arbor, MI  48105",Please confirm address,micde-contact@umich.edu,https://micde.umich.edu/,,,,,,,,,,,,,,,,,
9,1000193,Arts Research: Incubation & Acceleration (ARIA),,"Arts, Humanities & Creative Practice; Funding & Project Development","1109 Geddes Ave, Ann Arbor, MI 48109",Alexander G. Ruthven Building Suite 1300, ARIA.grant@umich.edu,https://research.umich.edu/arts-research-incubation-acceleration-aria/,734-764-1185,,,yes,,,,,,,,,,,,,
10,1005276,Center for Global Health Equity,,"Applied & Domain Focused Research; Ethics, Society & Policy","1600 Huron Parkway, Ann Arbor, MI 48109",Building 100,globalhealthequity@umich.edu,https://globalhealthequity.umich.edu/,,,,,,,,,,,,,,,,,
11,1000166,Michigan Center for Applied and Interdisciplinary Mathematics,,"AI Research, Development & Methods; Consulting & Support","530 Church Street, Ann Arbor, MI 48109-1043",2074 East Hall,math-mcaim@umich.edu,https://sites.lsa.umich.edu/mcaim/,,,,,,,,,,,,,,,,,
12,1000193,Bold Challenges,,Funding & Project Development,"1109 Geddes Ave, Ann Arbor, MI 48109",Alexander G. Ruthven Building,Please confirm email,Please confirm website,,,,,,,,,,,,,,,,,
13,1000145,"Center for Ethics, Society, and Computing (ESC)",,"Ethics, Society & Policy; Applied & Domain Focused Research","426 Thompson Street, Ann Arbor, MI 48104-1248",Institute for Social Research,esc-center@umich.edu,https://esc.umich.edu/,(734) 764-5361,,,,,,,,,,,,,,,,
14,1000197,Digital Studies Institute,,"Ethics, Society & Policy; Arts, Humanities & Creative Practice","419 S. State St, Ann Arbor, MI 48109-1045",G333 Mason Hall,umdsi.info@umich.edu,https://www.digitalstudies.umich.edu/,734-764-3356,,,,,,,,,,,,,,,,
15,1005101,"Science, Technology, and Public Policy (STPP) Program",,"Ethics, Society & Policy; Applied & Domain Focused Research","735 South State Street, Ann Arbor, MI 48109",Weill Hall/Gerald R. Ford School of Public Policy,stpp@umich.edu,https://stpp.fordschool.umich.edu/topic-areas/artificial-intelligence,(734) 764-0453,,,,,,,,,,,,,,,,
16, ,AI Institutes at Michigan (AIIM),,"AI Research, Development & Methods; Applied & Domain Focused Research",Please confirm address,Please confirm address,AIIM-Info@umich.edu,https://aiim.umich.edu/request-for-submissions/,,,,,,,,,,,,,,,,,
17,1000165,Michigan Institute for Data & AI in Society,,,"500 Church Street, Ann Arbor MI 48109-1042",Weiser Hall,midas-research@umich.edu,https://midas.umich.edu/,,,,,,,,,,,,,,,,,
